split,loss,accuracy,f1_macro
pooled_test,0.10232025786723581,0.9618590553169992,0.9627852325899301
test_client_01,0.10832221851882151,0.9597977555802195,0.9610659215838002
test_client_02,0.10283577111203315,0.9619386106623586,0.9622565890321286
test_client_03,0.09538357333780544,0.9638950363578881,0.9649565729176245
